Titulo,Descripcion,Categoria,Latitud,Longitud,Fecha del hecho
Contaminacion en Bahia Blanca,Emanaciones toxicas de polo petroquimico,Contaminacion,-38.7183,-62.2663,2023-07-12
Inundacion en Tucuman,Lluvias intensas inundaron la capital,Inundacion,-26.8083,-65.2176,2021-04-17
Incendio en Entre Rios,Quema intencional de pastizales,Incendio,-31.7333,-60.5293,2022-09-03
Deforestacion en Chaco,Perdida de bosque nativo por expansion agricola,Deforestacion,-27.4605,-58.9867,2020-08-26
Helada en La Pampa,Helada severa afecto ganaderia,Helada,-36.6167,-64.2833,2021-07-11
Contaminacion en Cordoba,Contaminacion del aire por incendios,Contaminacion,-31.4201,-64.1888,2022-01-19
Sequia en Catamarca,Falta de precipitaciones por dos años consecutivos,Sequia,-28.4696,-65.7795,2023-05-22
Incendio en San Luis,Incendio en zona de sierras,Incendio,-33.2956,-66.3356,2021-12-29
Granizada en Mendoza,Granizo afecto viñedos en Valle de Uco,Granizada,-32.8895,-68.8458,2022-03-16
Tornado en San Juan,Tornado causo daños materiales,Tornado,-31.5375,-68.5364,2023-08-07
Inundacion en Formosa,Desborde del rio Paraguay,Inundacion,-26.1775,-58.1781,2021-02-23
Contaminacion en Neuquen,Contaminacion por explotacion de hidrocarburos,Contaminacion,-38.9516,-68.0591,2022-06-30
Incendio en Jujuy,Incendio en quebrada de Humahuaca,Incendio,-24.1858,-65.2995,2020-09-14
Deforestacion en Formosa,Desmonte para plantacion de soja,Deforestacion,-26.1775,-58.1781,2021-11-28
Helada en Mendoza,Helada afecto cosecha de uvas,Helada,-32.8895,-68.8458,2022-05-09
Sequia en San Juan,Bajante de embalses por falta de nieve,Sequia,-31.5375,-68.5364,2023-01-15
Contaminacion en Chubut,Derrame de petroleo en costa atlantica,Contaminacion,-43.3002,-65.1023,2021-08-04
Incendio en La Rioja,Incendio en zona de monte nativo,Incendio,-29.4131,-66.8558,2022-10-21
Granizada en Salta,Granizo afecto cultivos de tabaco,Granizada,-24.7859,-65.4117,2023-03-26
